,Zip Code,Location,City,Population,People / Sq. Mile,National Rank,Latitude,Longitude,Population,Areasqmile,Landsqmile,Watersqmile,Poppersqmile
0,60626,"42.009340, -87.669902","Chicago, Illinois","59,251","34,520.21",#98,42.0093402,-87.6699015,"59,251",1.72,1.72,0.00,"34,520.22"
1,60660,"41.990561, -87.664706","Chicago, Illinois","47,726","34,193.05",#99,41.9905605,-87.6647059,"47,726",1.40,1.40,0.00,"34,193.05"
2,60640,"41.972347, -87.663982","Chicago, Illinois","74,030","32,103.29",#109,41.9723469,-87.6639822,"74,030",2.31,2.31,0.00,"32,103.29"
3,60657,"41.938964, -87.656811","Chicago, Illinois","66,789","31,204.02",#112,41.9389636,-87.6568112,"66,789",2.14,2.10,0.04,"31,834.77"
4,60610,"41.900034, -87.636967","Chicago, Illinois","47,513","30,110.68",#119,41.9000342,-87.6369674,"47,513",1.58,1.58,0.00,"30,110.68"
5,60613,"41.958302, -87.660698","Chicago, Illinois","50,548","25,857.54",#141,41.9583016,-87.6606982,"50,548",1.95,1.95,0.00,"25,898.18"
6,60647,"41.921117, -87.701899","Chicago, Illinois","98,769","25,372.11",#143,41.9211165,-87.7018992,"98,769",3.89,3.89,0.00,"25,372.12"
7,60625,"41.973081, -87.699751","Chicago, Illinois","91,351","23,681.91",#156,41.9730806,-87.6997514,"91,351",3.86,3.85,0.01,"23,751.25"
8,60614,"41.922667, -87.652537","Chicago, Illinois","65,474","20,838.01",#197,41.9226672,-87.6525371,"65,474",3.14,3.12,0.02,"20,979.15"
9,60651,"41.902029, -87.740432","Chicago, Illinois","77,583","20,738.60",#201,41.9020291,-87.7404319,"77,583",3.74,3.74,0.00,"20,738.61"
10,60659,"41.991923, -87.704608","Chicago, Illinois","39,155","19,859.02",#213,41.991923,-87.7046075,"39,155",1.97,1.97,0.00,"19,870.00"
11,60639,"41.920639, -87.755793","Chicago, Illinois","92,951","19,854.06",#214,41.9206391,-87.7557926,"92,951",4.68,4.68,0.00,"19,854.06"
12,60618,"41.946755, -87.702861","Chicago, Illinois","98,147","19,640.92",#220,41.9467546,-87.7028607,"98,147",5.00,5.00,0.00,"19,640.92"
13,60623,"41.847079, -87.719446","Chicago, Illinois","108,144","19,007.22",#229,41.8470787,-87.7194455,"108,144",5.69,5.67,0.02,"19,085.04"
14,60615,"41.801502, -87.603332","Chicago, Illinois","45,096","18,936.31",#231,41.8015019,-87.6033318,"45,096",2.38,2.38,0.00,"18,969.22"
15,60645,"42.008406, -87.695793","Chicago, Illinois","44,197","18,576.05",#236,42.0084057,-87.6957931,"44,197",2.38,2.38,0.00,"18,576.06"
16,60641,"41.946466, -87.746971","Chicago, Illinois","73,824","18,163.14",#241,41.9464662,-87.746971,"73,824",4.06,4.06,0.00,"18,163.15"
17,60649,"41.763484, -87.570411","Chicago, Illinois","54,823","17,870.96",#251,41.7634838,-87.5704106,"54,823",3.07,2.95,0.11,"18,557.95"
18,60611,"41.893024, -87.618998","Chicago, Illinois","26,522","17,783.87",#253,41.8930238,-87.6189975,"26,522",1.49,1.47,0.02,"18,034.52"
19,60622,"41.901894, -87.672630","Chicago, Illinois","76,015","17,489.00",#258,41.9018941,-87.6726296,"76,015",4.35,4.29,0.06,"17,723.25"
20,60601,"41.885805, -87.622911","Chicago, Illinois","5,591","17,101.15",#271,41.885805,-87.6229106,"5,591",0.33,0.33,0.00,"17,101.15"
21,60644,"41.880614, -87.756903","Chicago, Illinois","59,059","16,705.95",#281,41.8806143,-87.7569034,"59,059",3.54,3.53,0.01,"16,750.92"
22,60653,"41.819722, -87.611809","Chicago, Illinois","34,502","15,629.38",#313,41.819722,-87.6118088,"34,502",2.21,2.21,0.00,"15,629.38"
23,60661,"41.882458, -87.643946","Chicago, Illinois","4,382","15,455.28",#318,41.8824579,-87.6439457,"4,382",0.28,0.28,0.00,"15,455.29"
24,60629,"41.774690, -87.714185","Chicago, Illinois","113,984","15,212.28",#325,41.7746896,-87.7141845,"113,984",7.49,7.43,0.06,"15,339.99"
25,60608,"41.848647, -87.672320","Chicago, Illinois","92,472","14,180.66",#367,41.8486467,-87.6723197,"92,472",6.52,6.52,0.00,"14,180.67"
26,60616,"41.844977, -87.629846","Chicago, Illinois","47,073","13,948.12",#379,41.8449772,-87.6298463,"47,073",3.37,3.37,0.00,"13,948.12"
27,60636,"41.775708, -87.669011","Chicago, Illinois","51,451","13,581.48",#385,41.7757075,-87.6690109,"51,451",3.79,3.79,0.00,"13,581.48"
28,60624,"41.880048, -87.722352","Chicago, Illinois","45,647","13,574.16",#386,41.880048,-87.7223524,"45,647",3.36,3.36,0.01,"13,596.24"
29,60637,"41.780673, -87.603500","Chicago, Illinois","57,090","13,045.69",#403,41.7806732,-87.6034996,"57,090",4.38,4.31,0.06,"13,231.24"
30,60621,"41.776404, -87.640058","Chicago, Illinois","47,514","12,891.83",#411,41.7764036,-87.6400575,"47,514",3.69,3.69,0.00,"12,891.84"
31,60632,"41.810213, -87.711761","Chicago, Illinois","87,577","12,507.78",#427,41.810213,-87.7117607,"87,577",7.00,7.00,0.00,"12,507.79"
32,60619,"41.743383, -87.605811","Chicago, Illinois","74,963","11,991.80",#461,41.7433827,-87.6058111,"74,963",6.25,6.25,0.00,"11,991.80"
33,60620,"41.740481, -87.653749","Chicago, Illinois","85,771","11,439.03",#490,41.7404806,-87.6537494,"85,771",7.50,7.49,0.00,"11,445.36"
34,60630,"41.972071, -87.756569","Chicago, Illinois","54,781","11,213.53",#503,41.9720714,-87.7565694,"54,781",4.89,4.88,0.00,"11,216.22"
35,60634,"41.946189, -87.806117","Chicago, Illinois","74,164","10,611.96",#552,41.9461885,-87.8061174,"74,164",6.99,6.98,0.01,"10,626.10"
36,60609,"41.812680, -87.656935","Chicago, Illinois","79,469","10,286.83",#579,41.8126802,-87.6569346,"79,469",7.73,7.71,0.02,"10,312.31"
37,60612,"41.880500, -87.687967","Chicago, Illinois","37,990","10,195.72",#586,41.8805001,-87.6879666,"37,990",3.73,3.73,0.00,"10,195.72"
38,60652,"41.746234, -87.711953","Chicago, Illinois","39,126","8,425.81",#757,41.7462339,-87.7119531,"39,126",4.64,4.64,0.00,"8,425.81"
